DATE,CBBTCUSD,SP500
2015-09-11,240.9,1961.05
2015-09-14,231.01,1953.03
2015-09-15,230.6,1978.09
2015-09-16,229.73,1995.31
2015-09-17,233.34,1990.2
2015-09-18,233.78,1958.03
2015-09-21,227.31,1966.97
2015-09-22,231.28,1942.74
2015-09-23,230.26,1938.76
2015-09-24,235.27,1932.24
2015-09-25,235.89,1931.34
2015-09-28,239.99,1881.77
2015-09-29,236.89,1884.09
2015-09-30,237.14,1920.03
2015-10-01,238.34,1923.82
2015-10-02,238.28,1951.36
2015-10-05,240.95,1987.05
2015-10-06,246.64,1979.92
2015-10-07,244.0,1995.83
2015-10-08,242.94,2013.43
2015-10-09,244.35,2014.89
2015-10-12,246.39,2017.46
2015-10-13,250.99,2003.69
2015-10-14,253.27,1994.24
2015-10-15,254.99,2023.86
2015-10-16,263.43,2033.11
2015-10-19,265.17,2033.66
2015-10-20,271.14,2030.77
2015-10-21,268.77,2018.94
2015-10-22,275.84,2052.51
2016-04-18,430.97,2094.34
2016-04-19,437.06,2100.8
2016-04-20,442.96,2102.4
2016-04-21,452.25,2091.48
2016-04-22,448.41,2091.58
2016-04-25,466.17,2087.79
2016-04-26,470.59,2091.7
2016-04-27,445.31,2095.15
2016-04-28,451.68,2075.81
2016-04-29,458.82,2065.3
2016-05-02,446.42,2081.43
2016-05-03,452.21,2063.37
2016-05-04,448.68,2051.12
2016-05-05,449.98,2050.63
2016-05-06,462.31,2057.14
2016-05-09,464.16,2058.69
2016-05-10,452.78,2084.39
2016-05-11,454.37,2064.46
2016-05-12,456.48,2064.11
2016-05-13,457.98,2046.61
2016-05-16,455.66,2066.66
2016-05-17,454.19,2047.21
2016-05-18,455.56,2047.63
2016-05-19,438.38,2040.04
2016-05-20,445.65,2052.32
2016-05-23,445.67,2048.04
2016-05-24,446.99,2076.06
2016-05-25,451.49,2090.54
2016-05-26,454.97,2090.1
2016-05-27,471.27,2099.06
2017-03-16,1175.11,2381.38
2017-03-17,1069.57,2378.25
2017-03-20,1044.96,2373.47
2017-03-21,1114.42,2344.02
2017-03-22,1034.57,2348.45
2017-03-23,1025.14,2345.96
2017-03-24,934.87,2343.98
2017-03-27,1042.08,2341.59
2017-03-28,1045.4,2358.57
2017-03-29,1043.27,2361.13
2017-03-30,1042.34,2368.06
2017-03-31,1088.99,2362.72
2017-04-03,1152.6,2358.84
2017-04-04,1143.99,2360.16
2017-04-05,1132.99,2352.95
2017-04-06,1192.3,2357.49
2017-04-07,1194.0,2355.54
2017-04-10,1210.0,2357.16
2017-04-11,1223.99,2353.78
2017-04-12,1214.17,2344.93
2017-04-13,1177.05,2328.95
2017-04-14,1173.74,2333.9648
2017-04-17,1189.91,2349.01
2017-04-18,1201.94,2342.19
2017-04-19,1214.21,2338.17
2017-04-20,1236.15,2355.84
2017-04-21,1249.99,2348.69
2017-04-24,1257.29,2374.15
2017-04-25,1281.16,2388.61
2017-04-26,1298.44,2387.45
2017-06-23,2690.76,2438.3
2017-06-26,2407.91,2439.07
2017-06-27,2575.75,2419.38
2017-06-28,2553.12,2440.69
2017-06-29,2530.0,2419.7
2017-06-30,2455.19,2423.41
2017-07-03,2542.41,2429.01
2017-07-04,2602.0,2430.775
2017-07-05,2616.96,2432.54
2017-07-06,2604.84,2409.75
2017-07-07,2501.15,2425.18
2017-07-10,2331.05,2427.43
2017-07-11,2310.01,2425.53
2017-07-12,2383.42,2443.25
2017-07-13,2340.0,2447.83
2017-07-14,2217.24,2459.27
2017-07-17,2235.19,2459.14
2017-07-18,2308.15,2460.61
2017-07-19,2258.99,2473.83
2017-07-20,2873.48,2473.45
2017-07-21,2657.45,2472.54
2017-07-24,2762.26,2469.91
2017-07-25,2564.0,2477.13
2017-07-26,2525.99,2477.83
2017-07-27,2664.99,2475.42
2017-07-28,2786.07,2472.1
2017-07-31,2856.88,2470.3
2017-08-01,2732.59,2476.35
2017-08-02,2699.9,2477.57
2017-08-03,2787.02,2472.16
2017-09-01,4947.99,2476.55
2017-09-04,4498.25,2462.5251
2017-09-05,4432.51,2457.85
2017-09-06,4616.18,2465.54
2017-09-07,4624.18,2465.1
2017-09-08,4350.0,2461.43
2017-09-11,4210.72,2488.11
2017-09-12,4164.52,2496.48
2017-09-13,3855.32,2498.37
2017-09-14,3250.4,2495.62
2017-09-15,3740.02,2500.23
2017-09-18,4100.0,2503.87
2017-09-19,3910.11,2506.65
2017-09-20,3872.06,2508.24
